noun,gender,lang
tilleul,Sustantivo_masculino,fr
tissu,Sustantivo_masculino,fr
timbre fiscal,Sustantivo_masculino,fr
tigreau,Sustantivo_masculino,fr
thrésor,Sustantivo_masculino,fr
tictac,Sustantivo_masculino_2,fr
tiers,Sustantivo_masculino,fr
théâtre,Sustantivo_masculino,fr
thrône,Sustantivo_masculino,fr
thon,Sustantivo_masculino,fr
thrombocyte,Sustantivo_masculino,fr
thomisme,Sustantivo_masculino,fr
texte,Sustantivo_masculino,fr
thermomètre,Sustantivo_masculino,fr
thermos,Sustantivo_masculino,fr
titre,Sustantivo_masculino,fr
testicule,Sustantivo_masculino,fr
territoire,Sustantivo_masculino,fr
terrible,Sustantivo_masculino,fr
style,Sustantivo_masculino,fr
stylo,Sustantivo_masculino,fr
stripping,Sustantivo_masculino,fr
strigoi,Sustantivo_masculino_2,fr
stomodæum,Sustantivo_masculino,fr
square,Sustantivo_masculino,fr
sphéroïde,Sustantivo_masculino,fr
squelette,Sustantivo_masculino,fr
sport,Sustantivo_masculino,fr
stimulus,Sustantivo_masculino,fr
sphérique,Sustantivo_femenino_y_masculino,fr
sphæroïde,Sustantivo_masculino,fr
souvenir,Sustantivo_masculino_2,fr
spermicide,Sustantivo_masculino,fr
soy,Sustantivo_masculino,fr
speech,Sustantivo_masculino,fr
souteneur,Sustantivo_masculino,fr
sous-sol,Sustantivo_masculino,fr
sortilège,Sustantivo_masculino,fr
soupçon,Sustantivo_masculino,fr
sourcil,Sustantivo_masculino,fr
souchien,Sustantivo_masculino,fr
sourire,Sustantivo_masculino,fr
souffle,Sustantivo_masculino,fr
souci,Sustantivo_masculino,fr
sorgo,Sustantivo_masculino_2,fr
sort,Sustantivo_masculino,fr
songe,Sustantivo_masculino,fr
sono,Sustantivo_masculino,fr
sommet,Sustantivo_masculino,fr
sommelier,Sustantivo_masculino,fr
tissu conjonctif,Sustantivo_masculino,fr
soin,Sustantivo_masculino,fr
sommeil,Sustantivo_masculino,fr
solœcisme,Sustantivo_masculino,fr
solécisme,Sustantivo_masculino,fr
soldat,Sustantivo_masculino_2,fr
soleil,Sustantivo_masculino,fr
sol,Sustantivo_masculino_12,fr
sobriquet,Sustantivo_masculino,fr
socialisme,Sustantivo_masculino_2,fr
siège,Sustantivo_masculino,fr
sirop,Sustantivo_masculino,fr
situation,Sustantivo_masculino,fr
sinople,Sustantivo_masculino_2,fr
siècle,Sustantivo_masculino,fr
sinonime,Sustantivo_masculino,fr
sin,Sustantivo_masculino_2,fr
singe,Sustantivo_masculino,fr
silicate,Sustantivo_masculino,fr
silence,Sustantivo_masculino,fr
sieur,Sustantivo_masculino,fr
septembre,Sustantivo_masculino,fr
sein,Sustantivo_masculino,fr
sens,Sustantivo_masculino,fr
sel,Sustantivo_masculino_2,fr
seize,Sustantivo_masculino,fr
septante,Sustantivo_masculino,fr
second,Sustantivo_masculino,fr
secret,Sustantivo_masculino,fr
seau,Sustantivo_masculino,fr
scrupule,Sustantivo_masculino,fr
se-tenant,Sustantivo_masculino,fr
scientifique,Sustantivo_femenino_y_masculino,fr
schizophrénique,Sustantivo_femenino_y_masculino,fr
sceptique,Sustantivo_femenino_y_masculino,fr
savon,Sustantivo_masculino,fr
savate,Sustantivo_masculino_2,fr
scandium,Sustantivo_masculino,fr
sauveur,Sustantivo_masculino,fr
sanguin,Sustantivo_masculino,fr
satirique,Sustantivo_femenino_y_masculino,fr
sas,Sustantivo_masculino,fr
sapote,Sustantivo_masculino_2,fr
satin,Sustantivo_masculino,fr
santal,Sustantivo_masculino,fr
salut,Sustantivo_masculino,fr
saint,Sustantivo_masculino,fr
sac de couchage,Sustantivo_masculino,fr
sagittaire,Sustantivo_masculino,fr
sac à dos,Sustantivo_masculino,fr
sacrement,Sustantivo_masculino,fr
sabotage,Sustantivo_masculino,fr
sabot,Sustantivo_masculino,fr
rêve,Sustantivo_masculino,fr
rôle,Sustantivo_masculino,fr
réseau,Sustantivo_masculino,fr
réveil,Sustantivo_masculino,fr
répit,Sustantivo_masculino,fr
résultat,Sustantivo_masculino,fr
répétiteur,Sustantivo_masculino,fr
réorganisateur,Sustantivo_masculino,fr
région,Sustantivo_masculino,fr
régisseur,Sustantivo_masculino,fr
réglage,Sustantivo_masculino,fr
régiment,Sustantivo_masculino,fr
réformiste,Sustantivo_femenino_y_masculino,fr
réfectoire,Sustantivo_masculino,fr
réfrigérateur,Sustantivo_masculino,fr
rythme,Sustantivo_masculino_2,fr
rupteur,Sustantivo_masculino,fr
royaliste,Sustantivo_femenino_y_masculino,fr
rural,Sustantivo_masculino,fr
rouge,Sustantivo_masculino,fr
rumsteak,Sustantivo_masculino,fr
royaume,Sustantivo_masculino,fr
rumen,Sustantivo_masculino_2,fr
ru,Sustantivo_masculino,fr
rossignol,Sustantivo_masculino,fr
rose,Sustantivo_femenino,fr
rosaire,Sustantivo_masculino,fr
rotationnel,Sustantivo_masculino,fr
rotengle,Sustantivo_masculino,fr
romanophile,Sustantivo_femenino_y_masculino,fr
romanophone,Sustantivo_femenino_y_masculino,fr
roman,Sustantivo_masculino,fr
roi,Sustantivo_masculino,fr
riz,Sustantivo_masculino,fr
rob,Sustantivo_masculino_4,fr
robinet,Sustantivo_masculino,fr
roche,Sustantivo_masculino,fr
risque,Sustantivo_masculino,fr
ris,Sustantivo_masculino_3,fr
rital,Sustantivo_masculino,fr
rire,Sustantivo_masculino,fr
retranchement,Sustantivo_masculino,fr
rien,Sustantivo_masculino,fr
ribosome,Sustantivo_masculino,fr
reste,Sustantivo_masculino,fr
